Date,AAPL,JPM,XOM,PG,JNJ
2023-01-03,122.87673950195312,123.73519134521484,94.18096923828125,137.45497131347656,160.08108520507812
2023-01-04,124.14411926269531,124.88903045654297,94.4551010131836,138.05349731445312,161.8238983154297
2023-01-05,122.8276138305664,124.86134338378906,96.56844329833984,136.33950805664062,160.62908935546875
2023-01-06,127.34693908691406,127.25064849853516,97.73565673828125,139.58612060546875,161.9317626953125
2023-01-09,127.86766052246094,126.72481536865234,95.91410827636719,137.88121032714844,157.73631286621094
2023-01-10,128.4374542236328,127.8595199584961,97.3465805053711,137.7451629638672,157.35897827148438
2023-01-11,131.14910888671875,128.80966186523438,98.47842407226562,136.62969970703125,157.10748291015625
2023-01-12,131.0704803466797,128.68051147460938,100.11426544189453,135.85885620117188,156.31690979003906
2023-01-13,132.3968048095703,131.92776489257812,100.05236053466797,136.8292236328125,155.80482482910156
2023-01-17,133.55615234375,129.88900756835938,99.85783386230469,136.43017578125,154.8435516357422
2023-01-18,132.8389129638672,125.98683166503906,97.80638885498047,132.7755126953125,152.5077667236328
2023-01-19,132.89785766601562,124.30785369873047,98.43419647216797,129.967529296875,152.30116271972656
2023-01-20,135.4522705078125,124.61225891113281,100.2292251586914,130.46945190429688,151.5914764404297
2023-01-23,138.63546752929688,126.6325912475586,99.70751953125,128.71731567382812,151.2051239013672
2023-01-24,140.03057861328125,127.72112274169922,100.63595581054688,129.4199981689453,151.2051239013672
2023-01-25,139.37232971191406,128.3391876220703,100.10541534423828,129.32872009277344,152.28318786621094
2023-01-26,141.4354705810547,129.13253784179688,104.12873840332031,128.8085479736328,151.72621154785156
2023-01-27,143.37094116210938,129.4462127685547,102.22761535644531,128.27926635742188,151.13328552246094
2023-01-30,140.4923095703125,128.3484344482422,100.41490173339844,128.6807861328125,145.53640747070312
2023-01-31,141.75970458984375,129.1141357421875,102.58131408691406,129.9310302734375,146.8120880126953
2023-02-01,142.87973022460938,128.77276611328125,101.45829772949219,130.67019653320312,148.15966796875
2023-02-02,148.1751708984375,128.17315673828125,98.28387451171875,129.73936462402344,148.71665954589844
2023-02-03,151.79066467285156,130.15652465820312,98.96475219726562,130.14093017578125,147.88116455078125
2023-02-06,149.06922912597656,130.92222595214844,98.79673767089844,129.0366668701172,146.75820922851562
2023-02-07,151.93801879882812,132.51815795898438,101.61748504638672,127.77737426757812,146.79412841796875
2023-02-08,149.25587463378906,131.58642578125,100.73323822021484,126.45413208007812,146.98280334472656
2023-02-09,148.22430419921875,129.5384521484375,101.11346435546875,125.0670394897461,144.9973907470703
2023-02-10,148.58836364746094,130.11041259765625,105.37553405761719,126.17121887207031,145.6711883544922
2023-02-13,151.38282775878906,131.5218505859375,104.96565246582031,127.82301330566406,146.21022033691406
2023-02-14,150.74325561523438,132.10301208496094,103.73599243164062,127.1020736694336,145.57235717773438
2023-02-15,152.8390655517578,132.65652465820312,103.42413330078125,126.81004333496094,143.17369079589844
2023-02-16,151.2450714111328,130.82997131347656,103.12117004394531,125.14918518066406,142.15853881835938
2023-02-17,150.1036834716797,131.21746826171875,99.15599822998047,127.76826477050781,145.12637329101562
2023-02-21,146.0989227294922,128.80966186523438,99.05797576904297,127.67700958251953,142.9638214111328
2023-02-22,146.52203369140625,127.82260131835938,97.77486419677734,128.21539306640625,142.7647705078125
2023-02-23,147.0041961669922,128.8465576171875,98.67483520507812,127.80474090576172,142.7195281982422
2023-02-24,144.35733032226562,130.00892639160156,98.6837387084961,127.08380889892578,141.12704467773438
2023-02-27,145.5478973388672,131.1436004638672,98.50553894042969,126.97428894042969,140.81935119628906
2023-02-28,145.046142578125,132.24142456054688,97.93526458740234,125.53242492675781,138.67491149902344
2023-03-01,142.97976684570312,131.50340270996094,98.80848693847656,125.62373352050781,138.0505828857422
2023-03-02,143.57017517089844,130.13809204101562,99.2629165649414,127.69525146484375,137.9420166015625
2023-03-03,148.60804748535156,132.5273895263672,100.51929473876953,128.62606811523438,139.36260986328125
2023-03-06,151.36317443847656,131.75247192382812,101.41033935546875,128.0784912109375,140.75604248046875
2023-03-07,149.1688690185547,127.8779296875,99.4500503540039,125.53242492675781,139.42591857910156
2023-03-08,150.41854858398438,127.1214828491211,97.99763488769531,125.55072784423828,138.40350341796875
2023-03-09,148.17507934570312,120.2396011352539,97.240234375,124.6290283203125,136.84716796875
2023-03-10,146.11863708496094,123.29307556152344,96.0373306274414,125.19482421875,137.18194580078125
2023-03-13,148.05702209472656,121.07906341552734,94.93242645263672,126.06175231933594,138.49392700195312
2023-03-14,150.1430206298828,124.18792724609375,95.2888412475586,127.62223815917969,139.27212524414062
2023-03-15,150.53662109375,118.3207778930664,90.54845428466797,129.42913818359375,139.6612091064453
2023-03-16,153.3507537841797,120.6178207397461,90.02275085449219,130.3964385986328,139.3716278076172
